,kabko_id,lat,long,kabko
0,499.0,-6.2835,106.7113,KOTA TANGERANG SELATAN
1,441.0,-6.4025,106.7942,KOTA DEPOK
2,498.0,-6.2024,106.6527,KOTA TANGERANG
3,382.0,-6.1872,106.4877,KAB. TANGERANG
4,162.0,-7.6579,110.6646,KAB. KLATEN
5,211.0,-7.4305,110.2832,KAB. MAGELANG
6,440.0,-8.6705,115.2126,KOTA DENPASAR
7,145.0,-7.6681,109.6525,KAB. KEBUMEN
8,428.0,-6.2383,106.9756,KOTA BEKASI
9,19.0,-6.8652,107.492,KAB. BANDUNG BARAT
10,16.0,-8.5819,115.1771,KAB. BADUNG
11,421.0,-6.9175,107.6191,KOTA BANDUNG
12,434.0,-6.5971,106.806,KOTA BOGOR
13,62.0,-6.5518,106.6291,KAB. BOGOR
14,148.0,-7.0265,110.1879,KAB. KENDAL
15,44.0,-6.2474,107.1485,KAB. BEKASI
16,339.0,-6.1397,106.0405,KAB. SERANG
17,460.0,-8.577,116.1005,KOTA MATARAM
18,319.0,-6.5649,107.4322,KAB. PURWAKARTA
19,139.0,-6.3227,107.3376,KAB. KARAWANG
20,487.0,-7.0051,110.4381,KOTA SEMARANG
21,439.0,-6.732,108.5523,KOTA CIREBON
22,496.0,-7.2575,112.7521,KOTA SURABAYA
23,197.0,-6.5644,106.2522,KAB. LEBAK
24,233.0,-0.999,133.0195,KAB. MANOKWARI
25,87.0,-7.358,107.1957,KAB. CIANJUR
26,360.0,-6.3488,107.7636,KAB. SUBANG
27,480.0,-0.0263,109.3425,KOTA PONTIANAK
28,370.0,-6.8329,107.9532,KAB. SUMEDANG
29,455.0,-7.6311,111.53,KOTA MADIUN
30,461.0,3.5952,98.6722,KOTA MEDAN
31,494.0,-6.9277,106.93,KOTA SUKABUMI
32,353.0,-7.7325,110.4024,KAB. SLEMAN
33,457.0,-5.1477,119.4327,KOTA MAKASSAR
34,437.0,-6.0025,106.0111,KOTA CILEGON
35,231.0,-8.6688,120.0665,KAB. MANGGARAI BARAT
36,336.0,-7.1765,110.4739,KAB. SEMARANG
37,361.0,-6.8649,106.9536,KAB. SUKABUMI
38,478.0,0.5071,101.4478,KOTA PEKANBARU
39,425.0,1.1301,104.0529,KOTA BATAM
40,446.0,-1.6101,103.6131,KOTA JAMBI
41,236.0,-5.0549,119.6963,KAB. MAROS
42,18.0,-7.1341,107.6215,KAB. BANDUNG
43,177.0,-7.8267,110.1641,KAB. KULON PROGO
44,318.0,-7.3059,109.4259,KAB. PURBALINGGA
45,510.0,-7.7956,110.3695,KOTA YOGYAKARTA
46,203.0,-8.6946,116.2777,KAB. LOMBOK TENGAH
47,34.0,-7.4832,109.1404,KAB. BANYUMAS
48,458.0,-7.9666,112.6326,KOTA MALANG
49,497.0,-7.5755,110.8243,KOTA SURAKARTA
50,32.0,-7.919,110.3785,KAB. BANTUL
51,477.0,-6.8898,109.6746,KOTA PEKALONGAN
52,472.0,-2.1316,106.1169,KOTA PANGKAL PINANG
53,485.0,-0.4948,117.1436,KOTA SAMARINDA
54,59.0,-8.0955,112.1609,KAB. BLITAR
55,103.0,-7.5012,107.7636,KAB. GARUT
56,505.0,-6.8797,109.1256,KOTA TEGAL
57,488.0,-6.1104,106.164,KOTA SERANG
58,252.0,-1.5521,103.8216,KAB. MUARO JAMBI
59,420.0,-5.3971,105.2668,KOTA BANDAR LAMPUNG
60,309.0,-7.8651,111.4696,KAB. PONOROGO
61,188.0,-7.1269,112.3338,KAB. LAMONGAN
62,189.0,-5.1095,104.1466,KAB. LAMPUNG BARAT
63,469.0,-2.9761,104.7754,KOTA PALEMBANG
64,445.0,-6.1751,106.865,KOTA JAKARTA
